"id","name","latitude","longitude","population"
"8d4d3ad1-0e56-4e94-8890-8e4271154cce","Селавик","66.603879","-160.009391","832"
"8b594ea2-ec69-4a9d-9c86-462274a7a3fd","Талкитна","62.323779","-150.109427","1078"
"124de9ec-981b-4cfe-8c36-8ef42c692cb3","Уиттиер","60.784157","-148.67768","177"
"3395eba8-7ee4-45eb-9369-acc6d418a1e4","Монтана","62.079685","-150.072763","10"
"66a94db5-8fa7-4f53-92f1-3804530b1818","Лейк-Минчумина","63.882831","-152.312187","32"
"1bd71514-6ee1-4bef-aacb-845fb8d33ece","Кантуэлл","63.391595","-148.95079","222"
"7fd2e214-39a8-450c-a6e7-7affc3c8338c","Гулкана","62.271353","-145.382196","119"
"d95a0198-1cd4-4a0e-bf26-17419ec5f2a2","Игл","64.787995","-141.199997","104"
"cfa5134c-d9ef-459c-9f63-63ea26e83604","Ненана","64.563797","-149.093003","75"
"bd53ea98-997b-4bd8-b56e-4c545b3b3d08","Биг-Делта","64.15253","-145.842194","591"
"1f4abee7-0a34-4cac-a0af-52baf551b12f","Аллакакет","66.565483","-152.6455","97"
"4115612c-b0b0-4ca2-a7e7-2930d678714e","Танана","65.171873","-152.07879","308"
"3cdafe74-3640-4b2d-86c6-a7ee452d4f22","Бурленге","60.483322","15.416671","39422"
"a9a6e676-3097-430a-a559-6650d2eecdeb","Вестерос","59.630015","16.540013","107194"
"a3cb8d93-d8f5-4ab3-9cbf-50207e2bc89f","Николаев","46.967739","31.984342","510840"
"f08f5de7-b0ec-4518-9102-a0b9d007d7fc","Чернигов","51.50493","31.301541","307684"
"0a6035da-50a7-4468-8275-826eb36481d9","Хмельницкий","49.424928","27.001545","398346"
"80849431-b202-4975-82a2-a50ed79a73bc","Каменец-Подольский","48.684301","26.580899","114658"
"79af691c-f347-4f38-a4d4-e7cea824ecc8","Дрогобыч","49.344364","23.499382","124269"
"87bd66e1-71b3-4a85-83d4-49e558824ed9","Ужгород","48.629989","22.250001","150832"
"6168cd1d-5d2a-4bff-826a-32b02defce43","Умань","48.754297","30.21091","87658"
"9418642d-00a1-4e03-ae0e-8336c299e030","Бровары","50.49432","30.780901","88506"
"7466fd07-24a3-4192-b0c3-b6fce08d22b2","Белая Церковь","49.774312","30.130915","199163"
